constellation,stake,loadout,runs,winRate,meanAnte,meanScore,medianScore
eclipse,pyre,legendary_only,100,0,1.08,612,162
eclipse,beacon,legendary_only,100,0,1,389,101
eclipse,nova,legendary_only,100,0,1,433,101
eclipse,supernova,legendary_only,100,0,1,461,101
polyhedra,spark,legendary_only,100,0,1.07,349,346
polyhedra,ember,legendary_only,100,0,1.05,373,322
polyhedra,pyre,legendary_only,100,0,1,293,300
polyhedra,beacon,legendary_only,100,0,1,231,221
polyhedra,nova,legendary_only,100,0,1,199,194
polyhedra,supernova,legendary_only,100,0,1,203,195
ophiuchus,spark,legendary_only,100,0,1.02,323,162
ophiuchus,ember,legendary_only,100,0,1.02,292,162
ophiuchus,pyre,legendary_only,100,0,1,160,151
ophiuchus,beacon,legendary_only,100,0,1,174,100
ophiuchus,nova,legendary_only,100,0,1,121,98
ophiuchus,supernova,legendary_only,100,0,1,121,98
lyra,spark,empty,100,0,1.03,499,389
lyra,ember,empty,100,0,1.02,564,437
lyra,pyre,empty,100,0,1,318,275
lyra,beacon,empty,100,0,1,276,216
lyra,nova,empty,100,0,1,225,204
lyra,supernova,empty,100,0,1,214,209
mensa,spark,empty,100,0,1,188,144
mensa,ember,empty,100,0,1,204,159
mensa,pyre,empty,100,0,1,183,144
mensa,beacon,empty,100,0,1,137,96
mensa,nova,empty,100,0,1,134,90
mensa,supernova,empty,100,0,1,143,96
triumvirate,spark,empty,100,0,1,101,84
triumvirate,ember,empty,100,0,1,114,90
triumvirate,pyre,empty,100,0,1,78,72
triumvirate,beacon,empty,100,0,1,59,42
triumvirate,nova,empty,100,0,1,55,34
triumvirate,supernova,empty,100,0,1,55,34
argo,spark,empty,100,0,1,53,50
argo,ember,empty,100,0,1,53,50
argo,pyre,empty,100,0,1,48,47
argo,beacon,empty,100,0,1,32,29
argo,nova,empty,100,0,1,29,29
argo,supernova,empty,100,0,1,29,29
fibonacci,spark,empty,100,0,1.08,743,528
fibonacci,ember,empty,100,0,1.02,800,591
fibonacci,pyre,empty,100,0,1.01,534,400
fibonacci,beacon,empty,100,0,1.01,384,257
fibonacci,nova,empty,100,0,1,294,227
fibonacci,supernova,empty,100,0,1,293,232
eclipse,spark,empty,100,0,1,326,287
eclipse,ember,empty,100,0,1,347,301
eclipse,pyre,empty,100,0,1,347,301
eclipse,beacon,empty,100,0,1,205,225
eclipse,nova,empty,100,0,1,222,225
eclipse,supernova,empty,100,0,1,233,225
polyhedra,spark,empty,100,0,1,255,244
polyhedra,ember,empty,100,0,1,279,252
polyhedra,pyre,empty,100,0,1,189,161
polyhedra,beacon,empty,100,0,1,160,184
polyhedra,nova,empty,100,0,1,130,89
polyhedra,supernova,empty,100,0,1,135,89
ophiuchus,spark,empty,100,0,1,198,161
ophiuchus,ember,empty,100,0,1,201,161
ophiuchus,pyre,empty,100,0,1,140,110
ophiuchus,beacon,empty,100,0,1,124,75
ophiuchus,nova,empty,100,0,1,107,67
ophiuchus,supernova,empty,100,0,1,107,67
